City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,orahovac,42.3994,20.6547,13.92,69,95,3.96,XK,1667584732
1,busselton,-33.65,115.3333,10.72,90,2,4.21,AU,1667584733
2,margate,51.3813,1.3862,10.39,73,13,2.24,GB,1667584734
3,mataura,-46.1927,168.8643,7.84,68,96,4.47,NZ,1667584735
4,hermanus,-34.4187,19.2345,19.33,86,17,5.82,ZA,1667584737
5,el porvenir,13.7617,-87.3458,27.63,76,100,2.08,HN,1667584737
6,carnarvon,-24.8667,113.6333,19.33,74,0,10.34,AU,1667584738
7,vila velha,-20.3297,-40.2925,23.97,67,75,9.26,BR,1667584739
8,bengkulu,-3.8004,102.2655,23.94,90,100,1.82,ID,1667584690
9,ushuaia,-54.8,-68.3,9.79,76,100,4.12,AR,1667584741
10,butaritari,3.0707,172.7902,26.38,73,55,4.23,KI,1667584741
11,jamestown,42.097,-79.2353,21.77,56,0,4.63,US,1667584081
12,berbera,10.4396,45.0143,27.87,73,24,3.03,SO,1667584742
13,auki,-8.7676,160.7034,24.45,88,26,1.56,SB,1667584743
14,ostrovnoy,68.0531,39.5131,2.16,96,90,6.4,RU,1667584744
15,kenora,49.8167,-94.4337,-1.46,64,40,3.6,CA,1667584745
16,albany,42.6001,-73.9662,21.33,54,29,1.34,US,1667584526
17,hasaki,35.7333,140.8333,11.79,61,100,8.76,JP,1667584747
18,menongue,-14.6585,17.691,17.65,88,100,2.24,AO,1667584748
19,atuona,-9.8,-139.0333,25.12,79,21,7.39,PF,1667584749
20,ozark,37.0209,-93.206,24.79,69,81,1.79,US,1667584750
21,ponta delgada,37.7333,-25.6667,22.5,94,40,4.12,PT,1667584751
22,mikhaylov,54.2292,39.0186,0.33,84,100,1.85,RU,1667584751
23,nouadhibou,20.931,-17.0347,25.99,53,0,6.69,MR,1667584752
24,gannan,47.9147,123.5031,-2.74,62,53,3.36,CN,1667584753
25,stranda,62.3096,6.9358,9.22,97,100,1.45,NO,1667584753
26,tuktoyaktuk,69.4541,-133.0374,-11.0,79,100,7.72,CA,1667584754
27,hilo,19.7297,-155.09,23.12,98,100,4.47,US,1667584755
28,asau,46.4333,26.4,9.6,75,89,1.16,RO,1667584756
29,bredasdorp,-34.5322,20.0403,17.06,96,51,2.38,ZA,1667584757
30,ribeira grande,38.5167,-28.7,20.43,88,75,6.69,PT,1667584758
31,cidreira,-30.1811,-50.2056,18.93,61,70,4.63,BR,1667584759
32,manaus,-3.1019,-60.025,29.28,65,75,2.57,BR,1667584759
33,nadvoitsy,63.8667,34.3167,1.94,91,100,2.27,RU,1667584761
34,clyde river,70.4692,-68.5914,-12.87,72,100,4.63,CA,1667584761
35,nikolskoye,59.7035,30.7861,-2.06,83,25,1.55,RU,1667584762
36,fairbanks,64.8378,-147.7164,-11.62,88,100,0.44,US,1667584572
37,cape town,-33.9258,18.4232,21.23,80,20,6.71,ZA,1667584763
38,barrow,71.2906,-156.7887,-7.99,79,100,6.69,US,1667584422
39,caravelas,-17.7125,-39.2481,22.02,68,100,7.16,BR,1667584765
40,faya,18.3851,42.4509,18.06,69,62,0.89,SA,1667584766
41,wonthaggi,-38.6044,145.5913,11.57,89,21,2.73,AU,1667584767
42,verkhnevilyuysk,63.4453,120.3167,-10.18,91,100,3.73,RU,1667584767
43,vaini,-21.2,-175.2,23.09,88,20,2.57,TO,1667584768
44,burgersdorp,-30.9977,26.3286,13.67,82,100,3.72,ZA,1667584769
